(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Legacy Shaders/Diffuse (6 verts): 
		wheel_fr1 (3 verts)	-1	True	False	False	1	[Default-Diffuse (UnityEngine.Material)] 	
		wheel_fr1 (3 verts)	-1	True	False	False	1	[Default-Diffuse (UnityEngine.Material)] 	
	Legacy Shaders/Self-Illumin/Parallax Specular (2256 verts): 
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBase3Hostage (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBlue (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotPlayer (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBlue (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotRed (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotRed (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotBlue (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotZombie (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotCivilian (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
		SpawnSpotEnemy (24 verts)	-1	False	False	False	1	[_Blue5 (UnityEngine.Material)] 	
